Year,State,Commodity,Criteria,Value
2009,VIRGINIA,CORN,ACRES HARVESTED,135000
2008,VIRGINIA,CORN,ACRES HARVESTED,125000
2007,VIRGINIA,CORN,ACRES HARVESTED,130000
2006,VIRGINIA,CORN,ACRES HARVESTED,130000
2005,VIRGINIA,CORN,ACRES HARVESTED,125000
2004,VIRGINIA,CORN,ACRES HARVESTED,135000
2003,VIRGINIA,CORN,ACRES HARVESTED,135000
2002,VIRGINIA,CORN,ACRES HARVESTED,155000
2001,VIRGINIA,CORN,ACRES HARVESTED,135000
2000,VIRGINIA,CORN,ACRES HARVESTED,135000
2015,WASHINGTON,CORN,ACRES HARVESTED,95000
2014,WASHINGTON,CORN,ACRES HARVESTED,105000
2013,WASHINGTON,CORN,ACRES HARVESTED,85000
2012,WASHINGTON,CORN,ACRES HARVESTED,80000
2011,WASHINGTON,CORN,ACRES HARVESTED,70000
2010,WASHINGTON,CORN,ACRES HARVESTED,75000
2009,WASHINGTON,CORN,ACRES HARVESTED,65000
2008,WASHINGTON,CORN,ACRES HARVESTED,75000
2007,WASHINGTON,CORN,ACRES HARVESTED,80000
2006,WASHINGTON,CORN,ACRES HARVESTED,65000
2005,WASHINGTON,CORN,ACRES HARVESTED,70000
2004,WASHINGTON,CORN,ACRES HARVESTED,65000
2003,WASHINGTON,CORN,ACRES HARVESTED,60000
2002,WASHINGTON,CORN,ACRES HARVESTED,60000
2001,WASHINGTON,CORN,ACRES HARVESTED,60000
2000,WASHINGTON,CORN,ACRES HARVESTED,55000
2015,WEST VIRGINIA,CORN,ACRES HARVESTED,14000
2014,WEST VIRGINIA,CORN,ACRES HARVESTED,14000
2013,WEST VIRGINIA,CORN,ACRES HARVESTED,16000
2012,WEST VIRGINIA,CORN,ACRES HARVESTED,15000
2011,WEST VIRGINIA,CORN,ACRES HARVESTED,15000
2010,WEST VIRGINIA,CORN,ACRES HARVESTED,17000
2009,WEST VIRGINIA,CORN,ACRES HARVESTED,16000
2008,WEST VIRGINIA,CORN,ACRES HARVESTED,17000
2007,WEST VIRGINIA,CORN,ACRES HARVESTED,20000
2006,WEST VIRGINIA,CORN,ACRES HARVESTED,18000
2005,WEST VIRGINIA,CORN,ACRES HARVESTED,16000
2004,WEST VIRGINIA,CORN,ACRES HARVESTED,18000
2003,WEST VIRGINIA,CORN,ACRES HARVESTED,19000
2002,WEST VIRGINIA,CORN,ACRES HARVESTED,19000
2001,WEST VIRGINIA,CORN,ACRES HARVESTED,23000
2000,WEST VIRGINIA,CORN,ACRES HARVESTED,19000
2015,WISCONSIN,CORN,ACRES HARVESTED,970000
2014,WISCONSIN,CORN,ACRES HARVESTED,850000
2013,WISCONSIN,CORN,ACRES HARVESTED,980000
2012,WISCONSIN,CORN,ACRES HARVESTED,980000
2011,WISCONSIN,CORN,ACRES HARVESTED,805000
2010,WISCONSIN,CORN,ACRES HARVESTED,750000
2009,WISCONSIN,CORN,ACRES HARVESTED,850000
2008,WISCONSIN,CORN,ACRES HARVESTED,875000
2007,WISCONSIN,CORN,ACRES HARVESTED,745000
2006,WISCONSIN,CORN,ACRES HARVESTED,830000
2005,WISCONSIN,CORN,ACRES HARVESTED,880000
2004,WISCONSIN,CORN,ACRES HARVESTED,950000
2003,WISCONSIN,CORN,ACRES HARVESTED,880000
2002,WISCONSIN,CORN,ACRES HARVESTED,730000
2001,WISCONSIN,CORN,ACRES HARVESTED,780000
2000,WISCONSIN,CORN,ACRES HARVESTED,720000
2015,WYOMING,CORN,ACRES HARVESTED,25000
2014,WYOMING,CORN,ACRES HARVESTED,27000
2013,WYOMING,CORN,ACRES HARVESTED,31000
2012,WYOMING,CORN,ACRES HARVESTED,35000
2011,WYOMING,CORN,ACRES HARVESTED,25000
2010,WYOMING,CORN,ACRES HARVESTED,30000
2009,WYOMING,CORN,ACRES HARVESTED,32000
2008,WYOMING,CORN,ACRES HARVESTED,33000
2007,WYOMING,CORN,ACRES HARVESTED,31000
2006,WYOMING,CORN,ACRES HARVESTED,34000
2005,WYOMING,CORN,ACRES HARVESTED,30000
2004,WYOMING,CORN,ACRES HARVESTED,36000
2003,WYOMING,CORN,ACRES HARVESTED,34000
2002,WYOMING,CORN,ACRES HARVESTED,40000
2001,WYOMING,CORN,ACRES HARVESTED,37000
2000,WYOMING,CORN,ACRES HARVESTED,30000
2015,ALABAMA,WINTER WHEAT,ACRES PLANTED,260000
2015,ALABAMA,WINTER WHEAT,ACRES PLANTED,195000
2015,ALABAMA,WINTER WHEAT,ACRES PLANTED,210000
2014,ALABAMA,WINTER WHEAT,ACRES PLANTED,255000
2014,ALABAMA,WINTER WHEAT,ACRES PLANTED,230000
2013,ALABAMA,WINTER WHEAT,ACRES PLANTED,310000
2012,ALABAMA,WINTER WHEAT,ACRES PLANTED,220000
2011,ALABAMA,WINTER WHEAT,ACRES PLANTED,220000
2010,ALABAMA,WINTER WHEAT,ACRES PLANTED,110000
2009,ALABAMA,WINTER WHEAT,ACRES PLANTED,220000
2008,ALABAMA,WINTER WHEAT,ACRES PLANTED,265000
2007,ALABAMA,WINTER WHEAT,ACRES PLANTED,120000
2006,ALABAMA,WINTER WHEAT,ACRES PLANTED,100000
2005,ALABAMA,WINTER WHEAT,ACRES PLANTED,100000
2004,ALABAMA,WINTER WHEAT,ACRES PLANTED,120000
2003,ALABAMA,WINTER WHEAT,ACRES PLANTED,150000
2002,ALABAMA,WINTER WHEAT,ACRES PLANTED,150000
2001,ALABAMA,WINTER WHEAT,ACRES PLANTED,170000
2000,ALABAMA,WINTER WHEAT,ACRES PLANTED,140000
2015,ARIZONA,WINTER WHEAT,ACRES PLANTED,5000
2015,ARIZONA,WINTER WHEAT,ACRES PLANTED,9000
2015,ARIZONA,WINTER WHEAT,ACRES PLANTED,9000
2014,ARIZONA,WINTER WHEAT,ACRES PLANTED,8000
2014,ARIZONA,WINTER WHEAT,ACRES PLANTED,6000
2013,ARIZONA,WINTER WHEAT,ACRES PLANTED,12000
2012,ARIZONA,WINTER WHEAT,ACRES PLANTED,9000
2011,ARIZONA,WINTER WHEAT,ACRES PLANTED,7000
2010,ARIZONA,WINTER WHEAT,ACRES PLANTED,9000
2009,ARIZONA,WINTER WHEAT,ACRES PLANTED,7000
2008,ARIZONA,WINTER WHEAT,ACRES PLANTED,9000
2007,ARIZONA,WINTER WHEAT,ACRES PLANTED,6000
2006,ARIZONA,WINTER WHEAT,ACRES PLANTED,4000
2005,ARIZONA,WINTER WHEAT,ACRES PLANTED,5000
2004,ARIZONA,WINTER WHEAT,ACRES PLANTED,5000
2003,ARIZONA,WINTER WHEAT,ACRES PLANTED,4000
2002,ARIZONA,WINTER WHEAT,ACRES PLANTED,6000
2001,ARIZONA,WINTER WHEAT,ACRES PLANTED,6000
2000,ARIZONA,WINTER WHEAT,ACRES PLANTED,7000
2015,ARKANSAS,WINTER WHEAT,ACRES PLANTED,350000
2015,ARKANSAS,WINTER WHEAT,ACRES PLANTED,390000
2015,ARKANSAS,WINTER WHEAT,ACRES PLANTED,390000
2014,ARKANSAS,WINTER WHEAT,ACRES PLANTED,465000
2014,ARKANSAS,WINTER WHEAT,ACRES PLANTED,440000
2013,ARKANSAS,WINTER WHEAT,ACRES PLANTED,680000
2012,ARKANSAS,WINTER WHEAT,ACRES PLANTED,550000
2011,ARKANSAS,WINTER WHEAT,ACRES PLANTED,620000
2010,ARKANSAS,WINTER WHEAT,ACRES PLANTED,185000
2009,ARKANSAS,WINTER WHEAT,ACRES PLANTED,420000
2008,ARKANSAS,WINTER WHEAT,ACRES PLANTED,1070000
2007,ARKANSAS,WINTER WHEAT,ACRES PLANTED,820000
2006,ARKANSAS,WINTER WHEAT,ACRES PLANTED,365000
2005,ARKANSAS,WINTER WHEAT,ACRES PLANTED,220000
2004,ARKANSAS,WINTER WHEAT,ACRES PLANTED,670000
2003,ARKANSAS,WINTER WHEAT,ACRES PLANTED,700000
2002,ARKANSAS,WINTER WHEAT,ACRES PLANTED,950000
2001,ARKANSAS,WINTER WHEAT,ACRES PLANTED,1100000
2000,ARKANSAS,WINTER WHEAT,ACRES PLANTED,1180000
2015,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,400000
2015,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,450000
2015,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,430000
2014,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,490000
2014,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,520000
2013,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,620000
2012,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,590000
2011,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,680000
2010,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,680000
2009,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,660000
2008,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,730000
2007,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,550000
2006,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,450000
2005,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,495000
2004,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,560000
2003,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,740000
2002,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,530000
2001,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,530000
2000,CALIFORNIA,WINTER WHEAT,ACRES PLANTED,535000
2015,COLORADO,WINTER WHEAT,ACRES PLANTED,2400000
2015,COLORADO,WINTER WHEAT,ACRES PLANTED,2500000
2015,COLORADO,WINTER WHEAT,ACRES PLANTED,2500000
2014,COLORADO,WINTER WHEAT,ACRES PLANTED,2750000
2014,COLORADO,WINTER WHEAT,ACRES PLANTED,2850000
2013,COLORADO,WINTER WHEAT,ACRES PLANTED,2300000
2012,COLORADO,WINTER WHEAT,ACRES PLANTED,2350000
2011,COLORADO,WINTER WHEAT,ACRES PLANTED,2250000
2010,COLORADO,WINTER WHEAT,ACRES PLANTED,2400000
2009,COLORADO,WINTER WHEAT,ACRES PLANTED,2600000
2008,COLORADO,WINTER WHEAT,ACRES PLANTED,2150000
2007,COLORADO,WINTER WHEAT,ACRES PLANTED,2500000
2006,COLORADO,WINTER WHEAT,ACRES PLANTED,2150000
2005,COLORADO,WINTER WHEAT,ACRES PLANTED,2550000
2004,COLORADO,WINTER WHEAT,ACRES PLANTED,2300000
2003,COLORADO,WINTER WHEAT,ACRES PLANTED,2600000
2002,COLORADO,WINTER WHEAT,ACRES PLANTED,2350000
2001,COLORADO,WINTER WHEAT,ACRES PLANTED,2350000
2000,COLORADO,WINTER WHEAT,ACRES PLANTED,2500000
2015,DELAWARE,WINTER WHEAT,ACRES PLANTED,70000
2015,DELAWARE,WINTER WHEAT,ACRES PLANTED,75000
2015,DELAWARE,WINTER WHEAT,ACRES PLANTED,75000
2014,DELAWARE,WINTER WHEAT,ACRES PLANTED,80000
2014,DELAWARE,WINTER WHEAT,ACRES PLANTED,80000
2013,DELAWARE,WINTER WHEAT,ACRES PLANTED,85000
2012,DELAWARE,WINTER WHEAT,ACRES PLANTED,80000
2011,DELAWARE,WINTER WHEAT,ACRES PLANTED,80000
2010,DELAWARE,WINTER WHEAT,ACRES PLANTED,50000
2009,DELAWARE,WINTER WHEAT,ACRES PLANTED,65000
2008,DELAWARE,WINTER WHEAT,ACRES PLANTED,85000
2007,DELAWARE,WINTER WHEAT,ACRES PLANTED,57000
2006,DELAWARE,WINTER WHEAT,ACRES PLANTED,48000
2005,DELAWARE,WINTER WHEAT,ACRES PLANTED,52000
2004,DELAWARE,WINTER WHEAT,ACRES PLANTED,50000
2003,DELAWARE,WINTER WHEAT,ACRES PLANTED,50000
2002,DELAWARE,WINTER WHEAT,ACRES PLANTED,55000
2001,DELAWARE,WINTER WHEAT,ACRES PLANTED,60000
2000,DELAWARE,WINTER WHEAT,ACRES PLANTED,65000
2015,FLORIDA,WINTER WHEAT,ACRES PLANTED,25000
2015,FLORIDA,WINTER WHEAT,ACRES PLANTED,20000
2015,FLORIDA,WINTER WHEAT,ACRES PLANTED,25000
2014,FLORIDA,WINTER WHEAT,ACRES PLANTED,15000
2014,FLORIDA,WINTER WHEAT,ACRES PLANTED,15000
2013,FLORIDA,WINTER WHEAT,ACRES PLANTED,25000
2012,FLORIDA,WINTER WHEAT,ACRES PLANTED,20000
2011,FLORIDA,WINTER WHEAT,ACRES PLANTED,12000
2010,FLORIDA,WINTER WHEAT,ACRES PLANTED,12000
2009,FLORIDA,WINTER WHEAT,ACRES PLANTED,17000
2008,FLORIDA,WINTER WHEAT,ACRES PLANTED,25000
2007,FLORIDA,WINTER WHEAT,ACRES PLANTED,13000
2006,FLORIDA,WINTER WHEAT,ACRES PLANTED,8000
2005,FLORIDA,WINTER WHEAT,ACRES PLANTED,18000
2004,FLORIDA,WINTER WHEAT,ACRES PLANTED,18000
2003,FLORIDA,WINTER WHEAT,ACRES PLANTED,20000
2002,FLORIDA,WINTER WHEAT,ACRES PLANTED,19000
2001,FLORIDA,WINTER WHEAT,ACRES PLANTED,15000
2000,FLORIDA,WINTER WHEAT,ACRES PLANTED,13000
2015,GEORGIA,WINTER WHEAT,ACRES PLANTED,215000
2015,GEORGIA,WINTER WHEAT,ACRES PLANTED,320000
2015,GEORGIA,WINTER WHEAT,ACRES PLANTED,330000
2014,GEORGIA,WINTER WHEAT,ACRES PLANTED,300000
2014,GEORGIA,WINTER WHEAT,ACRES PLANTED,280000
2013,GEORGIA,WINTER WHEAT,ACRES PLANTED,430000
2012,GEORGIA,WINTER WHEAT,ACRES PLANTED,290000
2011,GEORGIA,WINTER WHEAT,ACRES PLANTED,250000
2010,GEORGIA,WINTER WHEAT,ACRES PLANTED,150000
2009,GEORGIA,WINTER WHEAT,ACRES PLANTED,335000
2008,GEORGIA,WINTER WHEAT,ACRES PLANTED,490000
2007,GEORGIA,WINTER WHEAT,ACRES PLANTED,360000
2006,GEORGIA,WINTER WHEAT,ACRES PLANTED,230000
2005,GEORGIA,WINTER WHEAT,ACRES PLANTED,280000
2004,GEORGIA,WINTER WHEAT,ACRES PLANTED,330000
2003,GEORGIA,WINTER WHEAT,ACRES PLANTED,380000
2002,GEORGIA,WINTER WHEAT,ACRES PLANTED,330000
2001,GEORGIA,WINTER WHEAT,ACRES PLANTED,300000
2000,GEORGIA,WINTER WHEAT,ACRES PLANTED,300000
2015,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2015,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2015,IDAHO,WINTER WHEAT,ACRES PLANTED,760000
2014,IDAHO,WINTER WHEAT,ACRES PLANTED,780000
2014,IDAHO,WINTER WHEAT,ACRES PLANTED,700000
2013,IDAHO,WINTER WHEAT,ACRES PLANTED,780000
2012,IDAHO,WINTER WHEAT,ACRES PLANTED,780000
2011,IDAHO,WINTER WHEAT,ACRES PLANTED,840000
2010,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2009,IDAHO,WINTER WHEAT,ACRES PLANTED,760000
2008,IDAHO,WINTER WHEAT,ACRES PLANTED,870000
2007,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2006,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2005,IDAHO,WINTER WHEAT,ACRES PLANTED,770000
2004,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2003,IDAHO,WINTER WHEAT,ACRES PLANTED,760000
2002,IDAHO,WINTER WHEAT,ACRES PLANTED,670000
2001,IDAHO,WINTER WHEAT,ACRES PLANTED,690000
2000,IDAHO,WINTER WHEAT,ACRES PLANTED,750000
2015,ILLINOIS,WINTER WHEAT,ACRES PLANTED,540000
2015,ILLINOIS,WINTER WHEAT,ACRES PLANTED,550000
2015,ILLINOIS,WINTER WHEAT,ACRES PLANTED,600000
2014,ILLINOIS,WINTER WHEAT,ACRES PLANTED,740000
2014,ILLINOIS,WINTER WHEAT,ACRES PLANTED,740000
2013,ILLINOIS,WINTER WHEAT,ACRES PLANTED,880000
2012,ILLINOIS,WINTER WHEAT,ACRES PLANTED,650000
2011,ILLINOIS,WINTER WHEAT,ACRES PLANTED,800000
2010,ILLINOIS,WINTER WHEAT,ACRES PLANTED,300000
2009,ILLINOIS,WINTER WHEAT,ACRES PLANTED,850000
2008,ILLINOIS,WINTER WHEAT,ACRES PLANTED,1200000
2007,ILLINOIS,WINTER WHEAT,ACRES PLANTED,1000000
2006,ILLINOIS,WINTER WHEAT,ACRES PLANTED,930000
2005,ILLINOIS,WINTER WHEAT,ACRES PLANTED,630000
2004,ILLINOIS,WINTER WHEAT,ACRES PLANTED,920000
2003,ILLINOIS,WINTER WHEAT,ACRES PLANTED,850000
2002,ILLINOIS,WINTER WHEAT,ACRES PLANTED,660000
2001,ILLINOIS,WINTER WHEAT,ACRES PLANTED,750000
2000,ILLINOIS,WINTER WHEAT,ACRES PLANTED,950000
2015,INDIANA,WINTER WHEAT,ACRES PLANTED,290000
2015,INDIANA,WINTER WHEAT,ACRES PLANTED,360000
2015,INDIANA,WINTER WHEAT,ACRES PLANTED,340000
2014,INDIANA,WINTER WHEAT,ACRES PLANTED,390000
2014,INDIANA,WINTER WHEAT,ACRES PLANTED,430000
2013,INDIANA,WINTER WHEAT,ACRES PLANTED,460000
2012,INDIANA,WINTER WHEAT,ACRES PLANTED,330000
2011,INDIANA,WINTER WHEAT,ACRES PLANTED,430000
2010,INDIANA,WINTER WHEAT,ACRES PLANTED,250000
2009,INDIANA,WINTER WHEAT,ACRES PLANTED,470000
2008,INDIANA,WINTER WHEAT,ACRES PLANTED,590000
2007,INDIANA,WINTER WHEAT,ACRES PLANTED,420000
2006,INDIANA,WINTER WHEAT,ACRES PLANTED,470000
2005,INDIANA,WINTER WHEAT,ACRES PLANTED,360000
2004,INDIANA,WINTER WHEAT,ACRES PLANTED,450000
2003,INDIANA,WINTER WHEAT,ACRES PLANTED,460000
2002,INDIANA,WINTER WHEAT,ACRES PLANTED,340000
2001,INDIANA,WINTER WHEAT,ACRES PLANTED,400000
2000,INDIANA,WINTER WHEAT,ACRES PLANTED,550000
2015,IOWA,WINTER WHEAT,ACRES PLANTED,20000
2015,IOWA,WINTER WHEAT,ACRES PLANTED,24000
2015,IOWA,WINTER WHEAT,ACRES PLANTED,26000
2014,IOWA,WINTER WHEAT,ACRES PLANTED,26000
2014,IOWA,WINTER WHEAT,ACRES PLANTED,25000
2013,IOWA,WINTER WHEAT,ACRES PLANTED,30000
2012,IOWA,WINTER WHEAT,ACRES PLANTED,18000
2011,IOWA,WINTER WHEAT,ACRES PLANTED,22000
2010,IOWA,WINTER WHEAT,ACRES PLANTED,15000
2009,IOWA,WINTER WHEAT,ACRES PLANTED,28000
2008,IOWA,WINTER WHEAT,ACRES PLANTED,40000
2007,IOWA,WINTER WHEAT,ACRES PLANTED,35000
2006,IOWA,WINTER WHEAT,ACRES PLANTED,25000
2005,IOWA,WINTER WHEAT,ACRES PLANTED,20000
2004,IOWA,WINTER WHEAT,ACRES PLANTED,28000
2003,IOWA,WINTER WHEAT,ACRES PLANTED,25000
2002,IOWA,WINTER WHEAT,ACRES PLANTED,20000
2001,IOWA,WINTER WHEAT,ACRES PLANTED,25000
2000,IOWA,WINTER WHEAT,ACRES PLANTED,20000
2015,KANSAS,WINTER WHEAT,ACRES PLANTED,9200000
2015,KANSAS,WINTER WHEAT,ACRES PLANTED,9400000
2015,KANSAS,WINTER WHEAT,ACRES PLANTED,9400000
2014,KANSAS,WINTER WHEAT,ACRES PLANTED,9600000
2014,KANSAS,WINTER WHEAT,ACRES PLANTED,9300000
2013,KANSAS,WINTER WHEAT,ACRES PLANTED,9500000
2012,KANSAS,WINTER WHEAT,ACRES PLANTED,9400000
2011,KANSAS,WINTER WHEAT,ACRES PLANTED,8800000
2010,KANSAS,WINTER WHEAT,ACRES PLANTED,8300000
2009,KANSAS,WINTER WHEAT,ACRES PLANTED,9300000
2008,KANSAS,WINTER WHEAT,ACRES PLANTED,9700000
2007,KANSAS,WINTER WHEAT,ACRES PLANTED,10400000
2006,KANSAS,WINTER WHEAT,ACRES PLANTED,9800000
2005,KANSAS,WINTER WHEAT,ACRES PLANTED,10000000
2004,KANSAS,WINTER WHEAT,ACRES PLANTED,10000000
2003,KANSAS,WINTER WHEAT,ACRES PLANTED,10500000
2002,KANSAS,WINTER WHEAT,ACRES PLANTED,9700000
2001,KANSAS,WINTER WHEAT,ACRES PLANTED,9800000
2000,KANSAS,WINTER WHEAT,ACRES PLANTED,9800000
2015,KENTUCKY,WINTER WHEAT,ACRES PLANTED,560000
2015,KENTUCKY,WINTER WHEAT,ACRES PLANTED,640000
2015,KENTUCKY,WINTER WHEAT,ACRES PLANTED,620000
2014,KENTUCKY,WINTER WHEAT,ACRES PLANTED,630000
2014,KENTUCKY,WINTER WHEAT,ACRES PLANTED,620000
2013,KENTUCKY,WINTER WHEAT,ACRES PLANTED,700000
2012,KENTUCKY,WINTER WHEAT,ACRES PLANTED,550000
2011,KENTUCKY,WINTER WHEAT,ACRES PLANTED,540000
2010,KENTUCKY,WINTER WHEAT,ACRES PLANTED,320000
2009,KENTUCKY,WINTER WHEAT,ACRES PLANTED,480000
2008,KENTUCKY,WINTER WHEAT,ACRES PLANTED,580000
2007,KENTUCKY,WINTER WHEAT,ACRES PLANTED,440000
2006,KENTUCKY,WINTER WHEAT,ACRES PLANTED,430000
2005,KENTUCKY,WINTER WHEAT,ACRES PLANTED,390000
2004,KENTUCKY,WINTER WHEAT,ACRES PLANTED,530000
2003,KENTUCKY,WINTER WHEAT,ACRES PLANTED,500000
2002,KENTUCKY,WINTER WHEAT,ACRES PLANTED,530000
2001,KENTUCKY,WINTER WHEAT,ACRES PLANTED,550000
2000,KENTUCKY,WINTER WHEAT,ACRES PLANTED,670000
2015,LOUISIANA,WINTER WHEAT,ACRES PLANTED,110000
2015,LOUISIANA,WINTER WHEAT,ACRES PLANTED,130000
2015,LOUISIANA,WINTER WHEAT,ACRES PLANTED,130000
2014,LOUISIANA,WINTER WHEAT,ACRES PLANTED,160000
2014,LOUISIANA,WINTER WHEAT,ACRES PLANTED,160000
2013,LOUISIANA,WINTER WHEAT,ACRES PLANTED,265000
2012,LOUISIANA,WINTER WHEAT,ACRES PLANTED,285000
2011,LOUISIANA,WINTER WHEAT,ACRES PLANTED,250000
2010,LOUISIANA,WINTER WHEAT,ACRES PLANTED,120000
2009,LOUISIANA,WINTER WHEAT,ACRES PLANTED,185000
2008,LOUISIANA,WINTER WHEAT,ACRES PLANTED,400000
2007,LOUISIANA,WINTER WHEAT,ACRES PLANTED,235000
2006,LOUISIANA,WINTER WHEAT,ACRES PLANTED,115000
2005,LOUISIANA,WINTER WHEAT,ACRES PLANTED,110000
2004,LOUISIANA,WINTER WHEAT,ACRES PLANTED,180000
2003,LOUISIANA,WINTER WHEAT,ACRES PLANTED,155000
2002,LOUISIANA,WINTER WHEAT,ACRES PLANTED,230000
2001,LOUISIANA,WINTER WHEAT,ACRES PLANTED,175000
2000,LOUISIANA,WINTER WHEAT,ACRES PLANTED,200000
2015,MARYLAND,WINTER WHEAT,ACRES PLANTED,355000
2015,MARYLAND,WINTER WHEAT,ACRES PLANTED,335000
2015,MARYLAND,WINTER WHEAT,ACRES PLANTED,360000
2014,MARYLAND,WINTER WHEAT,ACRES PLANTED,340000
2014,MARYLAND,WINTER WHEAT,ACRES PLANTED,340000
2013,MARYLAND,WINTER WHEAT,ACRES PLANTED,345000
2012,MARYLAND,WINTER WHEAT,ACRES PLANTED,310000
2011,MARYLAND,WINTER WHEAT,ACRES PLANTED,260000
2010,MARYLAND,WINTER WHEAT,ACRES PLANTED,185000
2009,MARYLAND,WINTER WHEAT,ACRES PLANTED,245000
2008,MARYLAND,WINTER WHEAT,ACRES PLANTED,255000
2007,MARYLAND,WINTER WHEAT,ACRES PLANTED,220000
2006,MARYLAND,WINTER WHEAT,ACRES PLANTED,210000
2005,MARYLAND,WINTER WHEAT,ACRES PLANTED,155000
2004,MARYLAND,WINTER WHEAT,ACRES PLANTED,160000
2003,MARYLAND,WINTER WHEAT,ACRES PLANTED,165000
2002,MARYLAND,WINTER WHEAT,ACRES PLANTED,185000
2001,MARYLAND,WINTER WHEAT,ACRES PLANTED,190000
2000,MARYLAND,WINTER WHEAT,ACRES PLANTED,220000
2015,MICHIGAN,WINTER WHEAT,ACRES PLANTED,510000
2015,MICHIGAN,WINTER WHEAT,ACRES PLANTED,500000
2015,MICHIGAN,WINTER WHEAT,ACRES PLANTED,530000
2014,MICHIGAN,WINTER WHEAT,ACRES PLANTED,550000
2014,MICHIGAN,WINTER WHEAT,ACRES PLANTED,580000
2013,MICHIGAN,WINTER WHEAT,ACRES PLANTED,620000
2012,MICHIGAN,WINTER WHEAT,ACRES PLANTED,560000
2011,MICHIGAN,WINTER WHEAT,ACRES PLANTED,700000
2010,MICHIGAN,WINTER WHEAT,ACRES PLANTED,520000
2009,MICHIGAN,WINTER WHEAT,ACRES PLANTED,630000
2008,MICHIGAN,WINTER WHEAT,ACRES PLANTED,730000
2007,MICHIGAN,WINTER WHEAT,ACRES PLANTED,550000
2006,MICHIGAN,WINTER WHEAT,ACRES PLANTED,660000
2005,MICHIGAN,WINTER WHEAT,ACRES PLANTED,600000
2004,MICHIGAN,WINTER WHEAT,ACRES PLANTED,660000
2003,MICHIGAN,WINTER WHEAT,ACRES PLANTED,680000
2002,MICHIGAN,WINTER WHEAT,ACRES PLANTED,450000
2001,MICHIGAN,WINTER WHEAT,ACRES PLANTED,520000
2000,MICHIGAN,WINTER WHEAT,ACRES PLANTED,530000
2015,MINNESOTA,WINTER WHEAT,ACRES PLANTED,52000
2015,MINNESOTA,WINTER WHEAT,ACRES PLANTED,48000
2015,MINNESOTA,WINTER WHEAT,ACRES PLANTED,48000
2014,MINNESOTA,WINTER WHEAT,ACRES PLANTED,42000
2014,MINNESOTA,WINTER WHEAT,ACRES PLANTED,40000
2013,MINNESOTA,WINTER WHEAT,ACRES PLANTED,27000
2012,MINNESOTA,WINTER WHEAT,ACRES PLANTED,35000
2011,MINNESOTA,WINTER WHEAT,ACRES PLANTED,25000
2010,MINNESOTA,WINTER WHEAT,ACRES PLANTED,60000
2009,MINNESOTA,WINTER WHEAT,ACRES PLANTED,45000
2008,MINNESOTA,WINTER WHEAT,ACRES PLANTED,75000
2007,MINNESOTA,WINTER WHEAT,ACRES PLANTED,65000
2006,MINNESOTA,WINTER WHEAT,ACRES PLANTED,50000
2005,MINNESOTA,WINTER WHEAT,ACRES PLANTED,20000
2004,MINNESOTA,WINTER WHEAT,ACRES PLANTED,27000
2003,MINNESOTA,WINTER WHEAT,ACRES PLANTED,25000
2002,MINNESOTA,WINTER WHEAT,ACRES PLANTED,35000
2001,MINNESOTA,WINTER WHEAT,ACRES PLANTED,15000
2000,MINNESOTA,WINTER WHEAT,ACRES PLANTED,20000
2015,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,150000
2015,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,150000
2015,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,170000
2014,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,230000
2014,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,230000
2013,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,400000
2012,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,345000
2011,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,335000
2010,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,115000
2009,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,165000
2008,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,520000
2007,MISSISSIPPI,WINTER WHEAT,ACRES PLANTED,370000
